Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,WhatsApp 1,WhatsApp 2,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Zoostyle,зоогостиница,Зоогостиницы,"улица Акмола, 43",,10078,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,30,87778928499,,,,,,https://instagram.com/zoostyle.ast,,https://wa.me/77778928499,,,,,50.95627,71.351918,https://2gis.com/firm/70000001059740460,branch
Айболит,ветеринарная клиника,Зоогостиницы; Ветеринарные аптеки; Ветеринарные клиники; Зоотовары; Уход за животными,"улица Илияса Есенберлина, 30",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.7,231,87054231246,87762826038,87172392740,,,,https://instagram.com/vetclinic.aibolit,,https://wa.me/77054231246,https://wa.me/77762826038,,,,51.188843,71.417367,https://2gis.com/firm/70000001029478410,branch
Альфа-Вет,ветеринарная клиника,Зоогостиницы; Ветеринарные клиники; Зоотовары; Выездные ветеринары; Уход за животными,"улица Бердибек Сокпакбаев, 16",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-16:00,+05:00,4.9,71,87776146560,87028608670,87172986770,,,,,,https://wa.me/77028608670,,viber://chat/?number=77028608670,,,51.172837,71.389193,https://2gis.com/firm/70000001076287241,branch
Багира,,Зоогостиницы; Зоотовары; Уход за животными; Ветеринарные аптеки,"улица Куляш Байсеитовой, 10",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:30-20:30; Вт: 10:30-20:30; Ср: 10:30-20:30; Чт: 10:30-20:30; Пт: 10:30-20:30; Сб: 10:30-20:30; Вс: 10:30-20:30,+05:00,4.9,78,87006893269,,,,,,https://instagram.com/bagira_zooshop,,https://wa.me/77006893269,,,,,51.193729,71.388756,https://2gis.com/firm/70000001080852755,branch
ВетСпектр,г. Астана,Зоогостиницы; Зоотовары,"улица Алексея Петрова, 18/1",НП: 3,,2а м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.9,3,87770153131,,,,,,https://instagram.com/vetspectr.astana,,https://wa.me/77770153131,,,,,51.148381,71.468282,https://2gis.com/firm/70000001090408314,branch
Зоосфера,ветеринарная клиника,Зоогостиницы; Зоотовары; Ветеринарные клиники; Ветеринарные лаборатории; Ветеринарные препараты - опт,"улица Шалкоде, 8/1",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,704,87079962940,87001296061,,,http://www.zoosfera.kz,http://www.zoosfera.satu.kz,https://instagram.com/astana_zoosfera,https://facebook.com/zoosfera.kz,https://wa.me/77001296061,,,https://t.me/vetclinic_zoosfera_astana,,51.124784,71.521568,https://2gis.com/firm/70000001028998694,branch
Зоосфера,ветеринарная клиника,Зоогостиницы; Зоотовары; Ветеринарные клиники,"улица Алексея Петрова, 1/1",1 этаж,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.8,409,87172344585,87074344585,,,http://www.zoosfera.kz,http://www.zoosfera.satu.kz,https://instagram.com/astana_zoosfera,https://facebook.com/zoosfera.kz,https://wa.me/77074344585,,,https://t.me/+77074344585,,51.151358,71.463507,https://2gis.com/firm/70000001018125770,branch
К-9,,Зоогостиницы; Клубы домашних животных и питомники; Зоотовары; Кинологи,"улица Султана Бейбарыса, 23",,,,,,Аршалынский район,Акмолинская область,Казахстан,"Пн: 09:00-12:30, 14:30-18:00; Вт: 09:00-12:30, 14:30-18:00; Ср: 09:00-12:30, 14:30-18:00; Чт: 09:00-12:30, 14:30-18:00; Пт: 09:00-12:30, 14:30-18:00; Сб: 09:00-12:30, 14:30-18:00; Вс: 09:00-12:30, 14:30-18:00",+05:00,4.9,69,87713181075,,,,,,https://instagram.com/k9_astana,https://facebook.com/k9nursultan,https://wa.me/77713181075,,,,,51.079317,71.757361,https://2gis.com/firm/70000001039890456,branch
Кот-Бегемот,,Зоогостиницы; Зоотовары,"проспект Сарыарка, 41",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.8,126,87772329281,,,,,,https://instagram.com/kotbegemot.kz,,https://wa.me/77772329281,,,,,51.179074,71.404806,https://2gis.com/firm/70000001040841895,branch
КотоДом,гостиница для кошек,Зоогостиницы,"улица Илияса Есенберлина, 38",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,5.0,2,87006836202,,,,,,https://instagram.com/kotodom.kz,,https://wa.me/77006836202,,,,,51.188886,71.4194,https://2gis.com/firm/70000001100852003,branch
КотоПес,зоогостиница,Зоогостиницы,"улица Адырна, 15/1",,,Шубар м-н,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,5.0,51,87071082048,,,,http://Kotopeshotel.kz,,https://instagram.com/kotopes_astana,,https://wa.me/77071082048,,,,,51.137949,71.431894,https://2gis.com/firm/70000001102619020,branch
Пушистик,,Зоогостиницы; Зоотовары,"улица Сарайшык, 38",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+05:00,5.0,27,87067121120,,,,,,https://instagram.com/perederzhka_astana01,,https://wa.me/77067121120,,,,,51.132613,71.436445,https://2gis.com/firm/70000001104293287,branch
Рыжий Кот,зоомагазин,Зоогостиницы; Зоотовары,"улица Шолпан Иманбаевой, 2",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.8,49,87789650667,,,,,,https://instagram.com/zoo_ryzhiy_kot,,https://wa.me/77789650667,,,,,51.160446,71.436264,https://2gis.com/firm/70000001044205992,branch
Счастливчик,,Зоогостиницы,"улица Сырдария, 31",,,,Байконыр район,Астана,,Астана,Казахстан,Вт: 11:00-16:00; Ср: 11:00-16:00; Чт: 11:00-16:00; Пт: 11:00-16:00; Вс: 11:00-16:00,+05:00,5.0,18,87071414174,,,,,,https://instagram.com/dom.perederzhka.schastlivchik,,https://wa.me/77071414174,,,,,51.172417,71.445356,https://2gis.com/firm/70000001089815663,branch
Усатый СПА,груминг салон и зоогостиница,Зоогостиницы; Уход за животными; Курсы груминга,"проспект Бауыржан Момышулы, 2/6",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,394,87052307766,,,,,,https://instagram.com/usatyi_spa,,https://wa.me/77052307766,,,,,51.134255,71.462179,https://2gis.com/firm/70000001066583150,branch
Стопотлов,Центр выдачи животных,Приюты для животных,"улица Сабит Муканов, 2/1",,,,Сарыарка район,Астана,,Астана,Казахстан,"Пн: 08:30-12:00, 13:00-17:00; Вт: 08:30-12:00, 13:00-17:00; Ср: 08:30-12:00, 13:00-17:00; Чт: 08:30-12:00, 13:00-17:00; Пт: 08:30-12:00, 13:00-17:00; Сб: 08:30-12:00, 13:00-17:00; Вс: 08:30-12:00, 13:00-17:00 (выдача питомцев: пн-вс 13:00-16:00)",+05:00,4.5,85,87055870404,,,,http://stopotlov.kz,,https://instagram.com/vd_stopotlov,,https://wa.me/77055870404,,,,,51.206716,71.315706,https://2gis.com/firm/70000001082733265,branch
Я живой,,Приюты для животных; Ветеринарные клиники; Зоотовары; Клубы домашних животных и питомники,"улица Аккорган, 5в",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00,+05:00,4.8,407,87020299141 (руководитель),,,,,,https://instagram.com/i_am_alive_shelter,,https://wa.me/77020299141,,,,,51.176398,71.335685,https://2gis.com/firm/70000001057421744,branch
4 лапы,груминг-салон,Уход за животными,"Амангельды Иманова улица, 7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,165,87788070263,,,,,,https://instagram.com/grooming_4lapy_astana,,https://wa.me/77788070263,,,,,51.164129,71.43297,https://2gis.com/firm/70000001056958009,branch
Animal house,груминг-салон и зоогостиница,Уход за животными; Зоогостиницы,"улица Сарайшык, 5/1",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,206,87753397526,,,animalhousekz@gmail.com,http://animalhouse.kz,,https://instagram.com/animalhouse.astana,,https://wa.me/77753397526,,,,,51.136392,71.427585,https://2gis.com/firm/70000001085764370,branch
Barberdog,,Уход за животными,"улица Анет баба, 9/1а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,301,87051903166,,,,,,https://instagram.com/barberdog_astana,,https://wa.me/77051903166,,,https://t.me/barberdog_astana,,51.136194,71.384343,https://2gis.com/firm/70000001068927633,branch
Black Orange,салон красоты для животных,Уход за животными,"улица Шамши Калдаяков, 23",возле кафе Okadzaki.kz,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,570,87059889327,,,,http://groomingblackorange.tilda.ws/,,https://instagram.com/black_orange_grooming,,https://wa.me/77059889327,,,,,51.11504,71.484443,https://2gis.com/firm/70000001039012471,branch
Celebrity Pets,салон красоты для животных,Уход за животными,"проспект Богенбай батыра, 32/1",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.8,198,87082150705,,,,,,https://instagram.com/grooming_celebritypets_astana,,https://wa.me/77082150705,,,,,51.173929,71.40823,https://2gis.com/firm/70000001032125093,branch
Dog and cat,груминг-салон и зоогостиница,Уход за животными; Зоогостиницы; Ветеринарные аптеки; Зоотовары,"улица Ануара Алимжанова, 54а",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,+05:00,4.8,154,87078180770,,,,,,https://instagram.com/dogandcat_astana,,https://wa.me/77078180770,,,,,51.175193,71.446715,https://2gis.com/firm/70000001039242000,branch
Ferdinand,груминг салон и зоогостиница,Уход за животными; Зоогостиницы,"улица Акбаян, 1",въезд справа от ресторана Portofino,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,440,87073177878 (груминг салон),87079880889 (зоогостиница),87089079478 (зоогостиница),,,,https://instagram.com/ferdinand.grooming.salon,,https://wa.me/77073177878,https://wa.me/77079880889,,,,51.140977,71.408609,https://2gis.com/firm/70000001093724095,branch
Garfeeld,груминг-салон,Уход за животными,"Кабанбай батыр проспект, 42",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительной записи),+05:00,5.0,16,87071057728,,,,,,https://instagram.com/garfeeld.grooming.astana,,https://wa.me/77071057728,,,,,51.119907,71.414089,https://2gis.com/firm/70000001104445545,branch
Globus,груминг-салон,Уход за животными,"улица Бейбитшилик, 75",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00; Сб: 11:00-18:00; Вс: 11:00-18:00 (по предварительной записи),+05:00,5.0,9,87014407660,87758999247,,,,,https://instagram.com/velvet_elena66,,https://wa.me/77014407660,https://wa.me/77758999247,,,,51.187353,71.414807,https://2gis.com/firm/70000001082681533,branch
Golden Ra,,Уход за животными,"улица Илияса Есенберлина, 38",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи),+05:00,5.0,29,87751578590,87083249097,,,,,https://instagram.com/golden_ra_grooming,,https://wa.me/77083249097,https://wa.me/77751578590,,,,51.188635,71.419466,https://2gis.com/firm/70000001110554128,branch
Grooming Shop Astana,,Уход за животными,"проспект Тауелсиздик, 25/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,138,87087051651,,,,,,https://instagram.com/grooming.shop.astana,,https://wa.me/77087051651,,,,,51.142039,71.459891,https://2gis.com/firm/70000001086786661,branch
Jan Dosym,груминг салон и магазин зоотоваров,Уход за животными; Зоотовары,"улица Алихан Бокейхан, 16/3",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,169,87770133110,,,,http://zapis.kz/jan.dosym,,https://instagram.com/jandosym_grooming,,https://wa.me/77770133110,,,https://t.me/+77770133110,,51.104364,71.433137,https://2gis.com/firm/70000001089036309,branch
Red Hot Chili Pets,салон красоты для животных,Уход за животными; Курсы груминга,"проспект Туран, 55/16",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,13,87713723332,,,hotpetskz@gmail.com,http://grooming.kz,,https://instagram.com/grooming.astana,https://facebook.com/102671677762298,https://wa.me/77713723332,,,,,51.115322,71.391702,https://2gis.com/firm/70000001113616960,branch
Red Hot Chili Pets,салон красоты для животных,Уход за животными; Зоотовары; Курсы груминга,"Керей, Жанибек хандар улица, 50/1",НП: 16,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,636,87713723332,,,hotpetskz@gmail.com,http://grooming.kz,,https://instagram.com/grooming.astana,https://facebook.com/102671677762298,https://wa.me/77713723332,,,,,51.103808,71.452361,https://2gis.com/firm/70000001038507574,branch
Shaggy,студия груминга и магазин,Уход за животными; Зоотовары; Зоотакси,"Керей, Жанибек хандар улица, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,203,87763447074,,,,http://taplink.cc/shaggy.grooming,http://zapis.kz/studiya-gruminga-shaggy,https://instagram.com/shaggy.grooming,,https://wa.me/77763447074,,,,,51.107157,71.447393,https://2gis.com/firm/70000001091376051,branch
Van Dogh,салон красоты для животных,Уход за животными,"улица Александра Пушкина, 15",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,160,87477120200,,,,,,https://instagram.com/vandoghgroom,,https://wa.me/77477120200,,,,,51.162447,71.468451,https://2gis.com/firm/70000001041480581,branch
Айболит,ветеринарная клиника,Уход за животными; Ветеринарные аптеки; Ветеринарные клиники; Зоотовары; Зоогостиницы,"улица Илияса Есенберлина, 30",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+05:00,4.7,231,87054231246,87762826038,87172392740,,,,https://instagram.com/vetclinic.aibolit,,https://wa.me/77054231246,https://wa.me/77762826038,,,,51.188843,71.417367,https://2gis.com/firm/70000001029478410,branch
Альфа-Вет,ветеринарная клиника,Уход за животными; Ветеринарные клиники; Зоогостиницы; Зоотовары; Выездные ветеринары,"улица Бердибек Сокпакбаев, 16",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-16:00,+05:00,4.9,71,87776146560,87028608670,87172986770,,,,,,https://wa.me/77028608670,,viber://chat/?number=77028608670,,,51.172837,71.389193,https://2gis.com/firm/70000001076287241,branch
Багира,,Уход за животными; Зоотовары; Зоогостиницы; Ветеринарные аптеки,"улица Куляш Байсеитовой, 10",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:30-20:30; Вт: 10:30-20:30; Ср: 10:30-20:30; Чт: 10:30-20:30; Пт: 10:30-20:30; Сб: 10:30-20:30; Вс: 10:30-20:30,+05:00,4.9,78,87006893269,,,,,,https://instagram.com/bagira_zooshop,,https://wa.me/77006893269,,,,,51.193729,71.388756,https://2gis.com/firm/70000001080852755,branch
Усатый СПА,груминг салон и зоогостиница,Уход за животными; Зоогостиницы; Курсы груминга,"проспект Бауыржан Момышулы, 2/6",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,394,87052307766,,,,,,https://instagram.com/usatyi_spa,,https://wa.me/77052307766,,,,,51.134255,71.462179,https://2gis.com/firm/70000001066583150,branch
Филин,груминг-салон,Уход за животными,"проспект Сарыарка, 41",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.7,32,87015338005,,,,,,https://instagram.com/zoo.groom.filin,,https://wa.me/77015338005,,,,,51.179417,71.404711,https://2gis.com/firm/70000001071454572,branch
